AAS  198	Directed Group Study           [001] (Chapman)
PHYS 298	Directed Study in Physics      [020] (Fullerton)
PHYS 298	Directed Study in Physics      [021] (Galperin)
PHYS 298	Directed Study in Physics      [022] (Goodkind)
PHYS 298	Directed Study in Physics      [023] (Griest)
PHYS 298	Directed Study in Physics      [024] (Grinstein)
PHYS 298	Directed Study in Physics      [025] (Grover)
PHYS 298	Directed Study in Physics      [026] (Groisman)
PHYS 298	Directed Study in Physics      [027] (Hirsch)
PHYS 298	Directed Study in Physics      [028] (Hwa)
PHYS 298	Directed Study in Physics      [029] (Intriligator)
PHYS 298	Directed Study in Physics      [030] (Jenkins)
PHYS 298	Directed Study in Physics      [031] (Jun)
PHYS 298	Directed Study in Physics      [032] (Keating)
PHYS 298	Directed Study in Physics      [033] (Keres)
PHYS 298	Directed Study in Physics      [034] (Kleinfeld)
PHYS 298	Directed Study in Physics      [035] (Konopacky)
PHYS 298	Directed Study in Physics      [036] (Koslover)
PHYS 298	Directed Study in Physics      [037] (Kuti)
PHYS 298	Directed Study in Physics      [038] (Mackinnon)
PHYS 298	Directed Study in Physics      [039] (Malkov)
PHYS 298	Directed Study in Physics      [040] (Manohar)
PHYS 298	Directed Study in Physics      [041] (Maple)
PHYS 298	Directed Study in Physics      [042] (McGreevy)
PHYS 298	Directed Study in Physics      [043] (Meyer)
PHYS 298	Directed Study in Physics      [044] (Montal)
PHYS 298	Directed Study in Physics      [045] (Mukamel)
PHYS 298	Directed Study in Physics      [046] (Murphy)
PHYS 298	Directed Study in Physics      [047] (Ni)
PHYS 298	Directed Study in Physics      [048] (Norman)
PHYS 298	Directed Study in Physics      [049] (O'Neil)
PHYS 298	Directed Study in Physics      [050] (Paar)
PHYS 298	Directed Study in Physics      [051] (Palacci)
PHYS 298	Directed Study in Physics      [052] (Popmintchev)
PHYS 298	Directed Study in Physics      [053] (Rappel)
PHYS 298	Directed Study in Physics      [054] (Rothschild)
PHYS 298	Directed Study in Physics      [055] (Sandstrom)
PHYS 298	Directed Study in Physics      [056] (Collins)
PHYS 298	Directed Study in Physics      [057] (Schuller)
PHYS 298	Directed Study in Physics      [058] (Sejnowski)
PHYS 298	Directed Study in Physics      [059] (Sham)
PHYS 298	Directed Study in Physics      [060] (Sharma)
PHYS 298	Directed Study in Physics      [061] (Sharpee)
PHYS 298	Directed Study in Physics      [062] (Shpyrko)
PHYS 298	Directed Study in Physics      [063] (Sinha)
PHYS 298	Directed Study in Physics      [064] (Sinha)
PHYS 298	Directed Study in Physics      [065] (Smith)
PHYS 298	Directed Study in Physics      [066] (Surko)
PHYS 298	Directed Study in Physics      [067] (Thiemens)
PHYS 298	Directed Study in Physics      [068] (Tytler)
PHYS 298	Directed Study in Physics      [069] (Vergassola)
PHYS 298	Directed Study in Physics      [070] (Werner)
PHYS 298	Directed Study in Physics      [071] (Wong)
PHYS 298	Directed Study in Physics      [072] (Wright)
PHYS 298	Directed Study in Physics      [073] (Wu)
PHYS 298	Directed Study in Physics      [074] (Wuerthwein)
PHYS 298	Directed Study in Physics      [075] (Yagil)
PHYS 299	Thesis Research in Physics     [001] (Abarbanel)
PHYS 299	Thesis Research in Physics     [002] (Arnold)
PHYS 299	Thesis Research in Physics     [003] (Arovas)
PHYS 299	Thesis Research in Physics     [004] (Averitt)
PHYS 299	Thesis Research in Physics     [005] (Barreiro Guerrero)
PHYS 299	Thesis Research in Physics     [006] (Bassov)
PHYS 299	Thesis Research in Physics     [007] (Branson)
PHYS 299	Thesis Research in Physics     [008] (Burgasser)
PHYS 299	Thesis Research in Physics     [009] (Butov)
PHYS 299	Thesis Research in Physics     [010] (Coil)
PHYS 299	Thesis Research in Physics     [011] (Diamond)
PHYS 299	Thesis Research in Physics     [012] (Di Ventra)
PHYS 299	Thesis Research in Physics     [013] (Driscoll)
PHYS 299	Thesis Research in Physics     [014] (Dubin)
PHYS 299	Thesis Research in Physics     [015] (Dudko)
PHYS 299	Thesis Research in Physics     [016] (Dynes)
PHYS 299	Thesis Research in Physics     [017] (Flauger)
PHYS 299	Thesis Research in Physics     [018] (Fogler)
PHYS 299	Thesis Research in Physics     [019] (Fuller)
PHYS 299	Thesis Research in Physics     [020] (Goodkind)
PHYS 299	Thesis Research in Physics     [021] (Griest)
PHYS 299	Thesis Research in Physics     [022] (Grinstein)
PHYS 299	Thesis Research in Physics     [023] (Groisman)
PHYS 299	Thesis Research in Physics     [024] (Grover)
PHYS 299	Thesis Research in Physics     [025] (Hirsch)
PHYS 299	Thesis Research in Physics     [026] (Hwa)
PHYS 299	Thesis Research in Physics     [027] (Intriligator)
PHYS 299	Thesis Research in Physics     [028] (Jenkins)
PHYS 299	Thesis Research in Physics     [029] (Jun)
PHYS 299	Thesis Research in Physics     [030] (Keating)
PHYS 299	Thesis Research in Physics     [031] (Keres)
PHYS 299	Thesis Research in Physics     [032] (Kleinfeld)
PHYS 299	Thesis Research in Physics     [033] (Konopacky)
PHYS 299	Thesis Research in Physics     [034] (Koslover)
PHYS 299	Thesis Research in Physics     [035] (Kuti)
PHYS 299	Thesis Research in Physics     [036] (Malkov)
PHYS 299	Thesis Research in Physics     [037] (Manohar)
PHYS 299	Thesis Research in Physics     [038] (Maple)
PHYS 299	Thesis Research in Physics     [039] (McGreevy)
PHYS 299	Thesis Research in Physics     [040] (Mell)
PHYS 299	Thesis Research in Physics     [041] (Montal)
PHYS 299	Thesis Research in Physics     [042] (Murphy)
PHYS 299	Thesis Research in Physics     [043] (Ni)
PHYS 299	Thesis Research in Physics     [044] (Norman)
PHYS 299	Thesis Research in Physics     [045] (O'Neil)
PHYS 299	Thesis Research in Physics     [046] (Paar)
PHYS 299	Thesis Research in Physics     [047] (Palacci)
PHYS 299	Thesis Research in Physics     [048] (Popmintchev)
PHYS 299	Thesis Research in Physics     [049] (Rappel)
PHYS 299	Thesis Research in Physics     [050] (Rothschild)
PHYS 299	Thesis Research in Physics     [051] (Sandstrom)
PHYS 299	Thesis Research in Physics     [052] (Collins)
PHYS 299	Thesis Research in Physics     [053] (Schuller)
PHYS 299	Thesis Research in Physics     [054] (Sejnowski)
PHYS 299	Thesis Research in Physics     [055] (Sham)
PHYS 299	Thesis Research in Physics     [056] (Sharma)
PHYS 299	Thesis Research in Physics     [057] (Sharpee)
PHYS 299	Thesis Research in Physics     [058] (Shpyrko)
PHYS 299	Thesis Research in Physics     [059] (Sinha)
PHYS 299	Thesis Research in Physics     [060] (Smith)
PHYS 299	Thesis Research in Physics     [061] (Surko)
PHYS 299	Thesis Research in Physics     [062] (Thiemens)
PHYS 299	Thesis Research in Physics     [063] (Tynan)
PHYS 299	Thesis Research in Physics     [064] (Tytler)
PHYS 299	Thesis Research in Physics     [065] (Vergassola)
PHYS 299	Thesis Research in Physics     [066] (Wong)
PHYS 299	Thesis Research in Physics     [067] (Wright)
PHYS 299	Thesis Research in Physics     [068] (Wu)
PHYS 299	Thesis Research in Physics     [069] (Wuerthwein)
PHYS 299	Thesis Research in Physics     [070] (Yagil)
PHYS 500	Introduction/Physics Teaching  [001] (Yagil)
PHYS 500	Introduction/Physics Teaching  [002] (Sharma)
PHYS 500	Introduction/Physics Teaching  [003] (Butov)
PHYS 500	Introduction/Physics Teaching  [004] (Staff)
POLI  10D	Intro/Poli Sci:Amer Politics   [A00] (Hill)
POLI  11D	Intro/Poli Sci:Compar Politics [A00] (Strom)
POLI  12D	Intro/Poli Sci:Int'l Relations [A00] (Roeder)
POLI  13D	Power and Justice              [A00] (Sharpless)
POLI  27	Ethics And Society I           [A00] (Mackie)
POLI  30D	Political Inquiry              [A00] (Desposato)
POLI 100A	The Presidency                 [A00] (Roth)
POLI 100E	Interest Group Politics        [A00] (Galderisi)
POLI 100G	How to Win or Lose an Election [A00] (Fletcher)
POLI 100H	Race & Ethnicity/Amer Politics [B00] (Hajnal)
POLI 102C	American Political Development [A00] (Galderisi)
POLI 102G	Spec Topics/American Politics  [A00] (Gause)
POLI 102L	The Politics of Regulation     [A00] (Smith)
POLI 104A	Supreme Court & Constitution   [A00] (Smith)
POLI 104N	Race and Law                   [A00] (Stephens)
POLI 110A	Citiz & Saints:Plato
POLI 113A	E. Asia Thought/Comp Perspectv [A00] (Magagna)
POLI 113A	E. Asia Thought/Comp Perspectv [B00] (Magagna)
POLI 120G	British Politics               [A00] (Strom)
POLI 120H	European Integration           [A00] (Fisk)
POLI 126AA	Politicl Econ:Modrn Capitalism [A00] (Bergman)
POLI 130B	Politics/People's Rep of China [A00] (Xu)
POLI 131	Muslim Integration & Exclusion [A00] (Nicholson)
POLI 134D	Topics/Latin American Politics [A00] (Saiegh)
POLI 142J	National Security Strategy     [A00] (Slantchev)
POLI 145C	Interntnl Reltn After Cold War [A00] (Fisk)
POLI 153	The EU in World Politics       [B00] (Schneider)
POLI 154	Spec Topic/Internatnl Relation [A00] (Willoughby)
POLI 160AA	Introduction/Policy Analysis   [A00] (Bergman)
POLI 163	Analyzing Politics             [A00] (Saiegh)
POLI 191A	Senr Hon Sem:Frontier/POLI I   [A00] (Ferree)
POLI 194	Research Seminar/Washington DC [A00] (Kernell)
POLI 194SD	Local Internship Research Sem. [A00] (Galderisi)
POLI 197I	Washington Internship          [A00] (Kernell)
POLI 197SD	Local Internship Pol Sci       [A00] (Galderisi)
POLI 199	Independent Study              [001] (Abrajano)
POLI 199	Independent Study              [002] (Adida)
POLI 199	Independent Study              [003] (Bridges)
POLI 199	Independent Study              [004] (Broz)
POLI 199	Independent Study              [005] (Chandler)
POLI 199	Independent Study              [006] (Cornelius)
POLI 199	Independent Study              [007] (Desposato)
POLI 199	Independent Study              [008] (Erie)
POLI 199	Independent Study              [009] (Willoughby)
POLI 199	Independent Study              [010] (Ferree)
POLI 199	Independent Study              [011] (Forman)
POLI 199	Independent Study              [012] (Fowler)
POLI 199	Independent Study              [013] (Gartzke)
POLI 199	Independent Study              [014] (Gibson)
POLI 199	Independent Study              [015] (Hafner
POLI 199	Independent Study              [016] (Haggard)
POLI 199	Independent Study              [017] (Hajnal)
POLI 199	Independent Study              [018] (Henaff)
POLI 199	Independent Study              [019] (Hill)
POLI 199	Independent Study              [020] (Hoston)
POLI 199	Independent Study              [021] (Jacobson)
POLI 199	Independent Study              [022] (Kernell)
POLI 199	Independent Study              [023] (Kousser)
POLI 199	Independent Study              [024] (Lake)
POLI 199	Independent Study              [025] (Mackie)
POLI 199	Independent Study              [026] (Magagna)
POLI 199	Independent Study              [027] (Mares)
POLI 199	Independent Study              [028] (Naoi)
POLI 199	Independent Study              [029] (Nichter)
POLI 199	Independent Study              [030] (Popkin)
POLI 199	Independent Study              [031] (Roberts)
POLI 199	Independent Study              [032] (Roeder)
POLI 199	Independent Study              [033] (Saiegh)
POLI 199	Independent Study              [034] (Schneider)
POLI 199	Independent Study              [035] (Shirk)
POLI 199	Independent Study              [036] (Slantchev)
POLI 199	Independent Study              [037] (Strom)
POLI 199	Independent Study              [038] (Walter)
POLI 199	Independent Study              [039] (Wiens)
POLI 199	Independent Study              [040] (Wong)
POLI 199	Independent Study              [041] (Xu)
POLI 204A	Research Design                [A00] (Ferree)
POLI 204B	Quantitative Methods           [A00] (Desposato)
POLI 220B	Comparative Pol: Institutions  [A00] (Strom)
POLI 224	Politics of Democratization    [A00] (Gibson)
POLI 225B	The Nation
POLI 245A	Political Economy/Region Integ [A00] (Schneider)
POLI 247B	Formal Models/Intrn'l Reltions [A00] (Slantchev)
POLI 251	American Politicl Institutions [A00] (Butler)
POLI 253	Research in State Politics     [A00] (Butler)
POLI 259	Sp Top/American Politics       [A00] (Abrajano)
POLI 270	Math & Statistical Foundations [A00] (Desposato)
POLI 272	Bayesian Methods               [A00] (Hill)
POLI 280	Wrkshp: Intl Law & Regulation  [A00] (Hafner
POLI 281	Workshop: American Politics    [A00] (Abrajano)
POLI 282	Workshop: Comparative Politics [A00] (Gibson)
POLI 283	Workshop:International Relatns [A00] (Schneider)
POLI 285	Workshop: Political Theory     [A00] (Wiens)
POLI 286	Workshop: Methodology          [A00] (Fowler)
POLI 298	Directed Reading               [001] (Abrajano)
POLI 298	Directed Reading               [002] (Adida)
POLI 298	Directed Reading               [003] (Bridges)
POLI 298	Directed Reading               [004] (Broz)
POLI 298	Directed Reading               [005] (Chandler)
POLI 298	Directed Reading               [006] (Cornelius)
POLI 298	Directed Reading               [007] (Desposato)
POLI 298	Directed Reading               [008] (Erie)
POLI 298	Directed Reading               [009] (Fletcher)
POLI 298	Directed Reading               [010] (Ferree)
POLI 298	Directed Reading               [011] (Forman)
POLI 298	Directed Reading               [012] (Fowler)
POLI 298	Directed Reading               [013] (Gartzke)
POLI 298	Directed Reading               [014] (Gibson)
POLI 298	Directed Reading               [015] (Hafner
POLI 298	Directed Reading               [016] (Haggard)
POLI 298	Directed Reading               [017] (Hajnal)
POLI 298	Directed Reading               [018] (Henaff)
POLI 298	Directed Reading               [019] (Hill)
POLI 298	Directed Reading               [020] (Hoston)
POLI 298	Directed Reading               [021] (Jacobson)
POLI 298	Directed Reading               [022] (Kernell)
POLI 298	Directed Reading               [023] (Kousser)
POLI 298	Directed Reading               [024] (Lake)
POLI 298	Directed Reading               [025] (Mackie)
POLI 298	Directed Reading               [026] (Magagna)
POLI 298	Directed Reading               [027] (Mares)
POLI 298	Directed Reading               [028] (Naoi)
POLI 298	Directed Reading               [029] (Nichter)
POLI 298	Directed Reading               [030] (Popkin)
POLI 298	Directed Reading               [031] (Roberts)
POLI 298	Directed Reading               [032] (Roeder)
POLI 298	Directed Reading               [033] (Saiegh)
POLI 298	Directed Reading               [034] (Schneider)
POLI 298	Directed Reading               [035] (Shirk)
POLI 298	Directed Reading               [036] (Slantchev)
POLI 298	Directed Reading               [037] (Strom)
POLI 298	Directed Reading               [038] (Walter)
POLI 298	Directed Reading               [039] (Wiens)
POLI 298	Directed Reading               [040] (Wong)
POLI 298	Directed Reading               [041] (Xu)
POLI 299	Dissertation Research          [001] (Abrajano)
POLI 299	Dissertation Research          [002] (Adida)
POLI 299	Dissertation Research          [003] (Bridges)
POLI 299	Dissertation Research          [004] (Broz)
POLI 299	Dissertation Research          [005] (Chandler)
POLI 299	Dissertation Research          [006] (Cornelius)
POLI 299	Dissertation Research          [007] (Desposato)
POLI 299	Dissertation Research          [008] (Erie)
POLI 299	Dissertation Research          [009] (Willoughby)
POLI 299	Dissertation Research          [010] (Ferree)
POLI 299	Dissertation Research          [011] (Forman)
POLI 299	Dissertation Research          [012] (Fowler)
POLI 299	Dissertation Research          [013] (Gartzke)
POLI 299	Dissertation Research          [014] (Gibson)
POLI 299	Dissertation Research          [015] (Hafner
POLI 299	Dissertation Research          [016] (Haggard)
POLI 299	Dissertation Research          [017] (Hajnal)
POLI 299	Dissertation Research          [018] (Henaff)
POLI 299	Dissertation Research          [019] (Hill)
POLI 299	Dissertation Research          [020] (Shih)
POLI 299	Dissertation Research          [021] (Jacobson)
POLI 299	Dissertation Research          [022] (Kernell)
POLI 299	Dissertation Research          [023] (Kousser)
POLI 299	Dissertation Research          [024] (Lake)
POLI 299	Dissertation Research          [025] (Mackie)
POLI 299	Dissertation Research          [026] (Magagna)
POLI 299	Dissertation Research          [027] (Mares)
POLI 299	Dissertation Research          [028] (Naoi)
POLI 299	Dissertation Research          [029] (Nichter)
POLI 299	Dissertation Research          [030] (Popkin)
POLI 299	Dissertation Research          [031] (Roberts)
POLI 299	Dissertation Research          [032] (Roeder)
POLI 299	Dissertation Research          [033] (Saiegh)
POLI 299	Dissertation Research          [034] (Schneider)
POLI 299	Dissertation Research          [035] (Shirk)
POLI 299	Dissertation Research          [036] (Slantchev)
POLI 299	Dissertation Research          [037] (Strom)
POLI 299	Dissertation Research          [038] (Walter)
POLI 299	Dissertation Research          [039] (Wiens)
POLI 299	Dissertation Research          [040] (Wong)
POLI 299	Dissertation Research          [041] (Xu)
POLI 599	Teaching Methd/Politicl Sci    [A00] (Feeley)
PSY  199	Independent Study              [001] (Staff)
PSY  230	Introduction/Clinical Hypnosis [A00] (Yager)
PSY  296	Independnt Readngs/Stdy in Psy [001] (Staff)
PSY  296	Independnt Readngs/Stdy in Psy [002] (Staff)
PSY  296	Independnt Readngs/Stdy in Psy [003] (Staff)
PSY  299	Psychiatry Independnt Stdy Pro [001] (Staff)
PSY  299	Psychiatry Independnt Stdy Pro [002] (Staff)
PSY  299	Psychiatry Independnt Stdy Pro [003] (Staff)
PSY  401	Psychiatry Core Clerkship      [A00] (Lehman)
PSY  403	Adv Clin Psy Outpatient Electv [A00] (Koh)
PSY  425	Consultatn/Liaison Psy Clrkshp [A00] (Lauzon)
PSY  426	Geriatric Psychiatry           [A00] (Sewell)
PSY  427	Psychiatric Crisis Evaluation  [A00] (Iglewicz)
PSY  429	Child Psychiatry               [A00] (Giedd)
PSY  431	Inpatient Psy Subinternship    [A00] (Lehman)
PSY  435	Subi/Inpat Alco
PSY  496	Clinical Independent Study     [001] (Lehman)
PSY  496	Clinical Independent Study     [002] (Grelotti)
PSY  496	Clinical Independent Study     [003] (Staff)
PSY  496	Clinical Independent Study     [004] (Staff)
PSY  496	Clinical Independent Study     [005] (Staff)
PSYC   1	Psychology                     [A00] (Staff)
PSYC   4	General Psychology: Behavioral [A00] (Winward)
PSYC   6	General Psychology: Social     [A00] (Little)
PSYC  60	Introduction to Statistics     [A00] (Lowe)
PSYC  60	Introduction to Statistics     [B00] (Rickard)
PSYC  70	Research Methods in Psychology [A00] (Geller)
PSYC 100	Clinical Psychology            [A00] (Rose)
PSYC 101	Developmental Psychology       [A00] (Heyman)
PSYC 102	Sensory Neuroscience           [A00] (Serences)
PSYC 104	Social Psychology              [A00] (Staff)
PSYC 105	Cognitive Psychology           [A00] (Geller)
PSYC 106	Behavioral Neuroscience        [A00] (Dobkins)
PSYC 116	Lab/Clinical Psyc Research     [A00] (Winward)
PSYC 124	Clinical Assessment/Treatment  [A00] (Staff)
PSYC 134	Eating Disorders               [A00] (Kaye)
PSYC 142	Psychology of Consciousness    [A00] (Root)
PSYC 145	Psychology of Language         [A00] (Staff)
PSYC 147	Gender                         [A00] (Gorman)
PSYC 156	Cognitive Development/Infancy  [A00] (Little)
PSYC 164	Criminology                    [A00] (Kaplan)
PSYC 168	Psychological Disorders/Child  [A00] (Staff)
PSYC 171	Neurobiology
PSYC 178	Industrial Organizational Psyc [A00] (Staff)
PSYC 182	Illusions and the Brain        [A00] (Fletcher)
PSYC 188	Impulse Control Disorders      [A00] (Staff)
PSYC 193	Topics in Psychology           [A00] (Walker)
PSYC 193	Topics in Psychology           [C00] (Staff)
PSYC 193	Topics in Psychology           [D00] (Vul)
PSYC 193	Topics in Psychology           [E00] (Willis)
PSYC 194A	Honors Thesis I                [A00] (Heyman)
PSYC 199	Independent Study              [001] (Anagnostaras)
PSYC 199	Independent Study              [002] (Anstis)
PSYC 199	Independent Study              [003] (Appelbaum)
PSYC 199	Independent Study              [004] (Aron)
PSYC 199	Independent Study              [005] (Barner)
PSYC 199	Independent Study              [006] (Brady)
PSYC 199	Independent Study              [007] (Brown)
PSYC 199	Independent Study              [008] (Carver)
PSYC 199	Independent Study              [009] (Christenfeld)
PSYC 199	Independent Study              [010] (Deutsch)
PSYC 199	Independent Study              [011] (Dobkins)
PSYC 199	Independent Study              [012] (Ferreira)
PSYC 199	Independent Study              [013] (Gentner)
PSYC 199	Independent Study              [014] (Gorman)
PSYC 199	Independent Study              [015] (Gremel)
PSYC 199	Independent Study              [016] (Harris)
PSYC 199	Independent Study              [017] (Heyman)
PSYC 199	Independent Study              [018] (Mc Kenzie)
PSYC 199	Independent Study              [019] (Miller)
PSYC 199	Independent Study              [020] (Pashler)
PSYC 199	Independent Study              [021] (Ramachandran)
PSYC 199	Independent Study              [022] (Rickard)
PSYC 199	Independent Study              [023] (Brady)
PSYC 199	Independent Study              [024] (Serences)
PSYC 199	Independent Study              [025] (Squire)
PSYC 199	Independent Study              [026] (Stoermer)
PSYC 199	Independent Study              [027] (Vul)
PSYC 199	Independent Study              [028] (Walker)
PSYC 199	Independent Study              [029] (Winkielman)
PSYC 199	Independent Study              [030] (Wixted)
PSYC 199	Independent Study              [031] (Ayers)
PSYC 199	Independent Study              [032] (Norman)
PSYC 199	Independent Study              [033] (Koob)
PSYC 199	Independent Study              [034] (Afari)
PSYC 199	Independent Study              [035] (Jak)
PSYC 199	Independent Study              [036] (Corey
PSYC 199	Independent Study              [037] (Lansing)
PSYC 199	Independent Study              [038] (Powell)
PSYC 199	Independent Study              [039] (Gollan)
PSYC 199	Independent Study              [040] (Reinagel)
PSYC 201A	Quant Methods in Psyc I        [A00] (Vul)
PSYC 210	Methods of Human Cog Neuro     [B00] (Aron)
PSYC 218	Prosem/Cognitive Psychology    [A00] (Wixted)
PSYC 224	Current Directions/CNS         [A00] (Miller)
PSYC 231	Data Analysis in Matlab        [A00] (Serences)
PSYC 241	Programming/Web Experiments    [A00] (Brady)
PSYC 242	Current Dir/Developmental Psyc [A00] (Barner)
PSYC 244	Spec Topics/Psycholinguistics  [A00] (Ferreira)
PSYC 270A	Intro/Laboratory Experiment I  [A00] (Dobkins)
PSYC 271	Neurobiology/Learning & Memory [A00] (Anagnostaras)
PSYC 272	Selected Topics/Cognitive Psyc [B00] (Brady)
PSYC 274	Current Directions/Social Psyc [A00] (Winkielman)
PSYC 275	Current Directions/Cog Psyc    [A00] (Vul)
PSYC 280	Sem/Communication&Info Resrch  [A00] (Ferreira)
PSYC 296	Research Practicum             [001] (Anagnostaras)
PSYC 296	Research Practicum             [002] (Anstis)
PSYC 296	Research Practicum             [003] (Appelbaum)
PSYC 296	Research Practicum             [004] (Aron)
PSYC 296	Research Practicum             [005] (Barner)
PSYC 296	Research Practicum             [006] (Brady)
PSYC 296	Research Practicum             [007] (Brown)
PSYC 296	Research Practicum             [008] (Carver)
PSYC 296	Research Practicum             [009] (Christenfeld)
PSYC 296	Research Practicum             [010] (Deutsch)
PSYC 296	Research Practicum             [011] (Dobkins)
PSYC 296	Research Practicum             [012] (Ferreira)
PSYC 296	Research Practicum             [013] (Gentner)
PSYC 296	Research Practicum             [014] (Gorman)
PSYC 296	Research Practicum             [015] (Gremel)
PSYC 296	Research Practicum             [016] (Harris)
PSYC 296	Research Practicum             [017] (Heyman)
PSYC 296	Research Practicum             [018] (Mc Kenzie)
PSYC 296	Research Practicum             [019] (Miller)
PSYC 296	Research Practicum             [020] (Pashler)
PSYC 296	Research Practicum             [021] (Ramachandran)
PSYC 296	Research Practicum             [022] (Rickard)
PSYC 296	Research Practicum             [023] (Brady)
PSYC 296	Research Practicum             [024] (Serences)
PSYC 296	Research Practicum             [025] (Squire)
PSYC 296	Research Practicum             [026] (Stoermer)
PSYC 296	Research Practicum             [027] (Walker)
PSYC 296	Research Practicum             [028] (Winkielman)
PSYC 296	Research Practicum             [029] (Wixted)
PSYC 296	Research Practicum             [030] (Vul)
PSYC 299	Independent Research           [001] (Anagnostaras)
PSYC 299	Independent Research           [002] (Anstis)
PSYC 299	Independent Research           [003] (Appelbaum)
PSYC 299	Independent Research           [004] (Aron)
PSYC 299	Independent Research           [005] (Barner)
PSYC 299	Independent Research           [006] (Brady)
PSYC 299	Independent Research           [007] (Brown)
PSYC 299	Independent Research           [008] (Carver)
PSYC 299	Independent Research           [009] (Christenfeld)
PSYC 299	Independent Research           [010] (Deutsch)
PSYC 299	Independent Research           [011] (Dobkins)
PSYC 299	Independent Research           [012] (Ferreira)
PSYC 299	Independent Research           [013] (Gentner)
PSYC 299	Independent Research           [014] (Gorman)
PSYC 299	Independent Research           [015] (Gremel)
PSYC 299	Independent Research           [016] (Harris)
PSYC 299	Independent Research           [017] (Heyman)
PSYC 299	Independent Research           [018] (Mc Kenzie)
PSYC 299	Independent Research           [019] (Miller)
PSYC 299	Independent Research           [020] (Pashler)
PSYC 299	Independent Research           [021] (Ramachandran)
PSYC 299	Independent Research           [022] (Rickard)
PSYC 299	Independent Research           [023] (Brady)
PSYC 299	Independent Research           [024] (Serences)
PSYC 299	Independent Research           [025] (Squire)
PSYC 299	Independent Research           [026] (Stoermer)
PSYC 299	Independent Research           [027] (Walker)
PSYC 299	Independent Research           [028] (Winkielman)
PSYC 299	Independent Research           [029] (Wixted)
PSYC 299	Independent Research           [030] (Vul)
PSYC 500	Apprentice Teaching            [001] (Staff)
PSYC 500	Apprentice Teaching            [002] (Winward)
PSYC 500	Apprentice Teaching            [003] (Little)
PSYC 500	Apprentice Teaching            [004] (Lowe)
PSYC 500	Apprentice Teaching            [005] (Rickard)
PSYC 500	Apprentice Teaching            [006] (Geller)
PSYC 500	Apprentice Teaching            [007] (Rose)
PSYC 500	Apprentice Teaching            [008] (Heyman)
PSYC 500	Apprentice Teaching            [009] (Serences)
PSYC 500	Apprentice Teaching            [010] (Staff)
PSYC 500	Apprentice Teaching            [011] (Dobkins)
PSYC 500	Apprentice Teaching            [012] (Staff)
PSYC 500	Apprentice Teaching            [013] (Kaye)
PSYC 500	Apprentice Teaching            [014] (Root)
PSYC 500	Apprentice Teaching            [015] (Staff)
PSYC 500	Apprentice Teaching            [016] (Staff)
PSYC 500	Apprentice Teaching            [017] (Kaplan)
PSYC 500	Apprentice Teaching            [018] (Staff)
PSYC 500	Apprentice Teaching            [019] (Staff)
PSYC 500	Apprentice Teaching            [020] (Staff)
PSYC 500	Apprentice Teaching            [021] (Fletcher)
PSYC 500	Apprentice Teaching            [022] (Vul)
RAD  296	Radiology Independent Research [001] (Sirlin)
RAD  296	Radiology Independent Research [002] (Staff)
RAD  296	Radiology Independent Research [003] (Staff)
RAD  299	Radiology Independent Study    [001] (Sirlin)
RAD  299	Radiology Independent Study    [002] (Ward)
RAD  299	Radiology Independent Study    [003] (Staff)
RAD  299	Radiology Independent Study    [004] (Staff)
RAD  401	General Radiology              [A00] (Ojeda
RAD  411	Introduction to Radiology      [A00] (Ojeda
RAD  412	Intro/Interventional Radiology [A00] (Rivera
RAD  427	Vascular Radiology             [A00] (Aryafar)
RAD  428	Body Computed Tomography       [A00] (Richman)
RAD  430	Cardiovascular Imaging         [A00] (Brouha)
RAD  434	Chest Radiology                [A00] (Yen)
RAD  435	Intro/Gen & Obstetr Ultrasound [A00] (O'Boyle)
RAD  496	Clinical Independent Study     [001] (Ojeda
RAD  496	Clinical Independent Study     [002] (Staff)
RAD  496	Clinical Independent Study     [003] (Staff)
RAD  496	Clinical Independent Study     [004] (Staff)
RAD  496	Clinical Independent Study     [005] (Staff)
RELI   2	Comparative Religions          [A00] (Cohen)
RELI 196AH	Honors Thesis in Religion      [A00] (Kalleres)
REV    1	First Year Experience          [A00] (Yu)
REV    2	Transfer Year Experience       [A00] (Tanaka)
REV   20	Revelle Honors Seminar         [A00] (Yu)
REV  195	Instructional Apprenticeship   [A00] (Yu)
REV  195	Instructional Apprenticeship   [B00] (Tanaka)
REV  500	Apprentice Teaching            [A00] (Staff)
RMAS 296	Independent Study              [001] (Staff)
RMAS 296	Independent Study              [002] (Murphy)
RMAS 299	Independent Research Project   [001] (Murphy)
RMAS 299	Independent Research Project   [002] (Einck)
RMAS 299	Independent Research Project   [003] (Staff)
RMAS 410	Componts/Clin Radiatn Oncology [A00] (Murphy)
RMAS 429	Radiation Therapy Clerkship    [A00] (Murphy)
RMAS 496	Clinical Independent Study     [001] (Murphy)
RMAS 496	Clinical Independent Study     [002] (Murphy)
RMAS 496	Clinical Independent Study     [003] (Hattangadi
RMAS 496	Clinical Independent Study     [004] (Staff)
RMED 223	Rep Med. Preceptorship         [A00] (Deak)
RMED 229	Reproductive Health & Justice  [A00] (Kingston)
RMED 296	Independent Study              [001] (Wolf)
RMED 296	Independent Study              [002] (Staff)
RMED 296	Independent Study              [003] (Staff)
RMED 299	Repro Med Indepen Study Projct [001] (Deak)
RMED 299	Repro Med Indepen Study Projct [002] (Mody)
